editTopo.py edits file version 1
#
# This file can be used as an argument for editTopo.py --apply
#
# created: Sun Sep  6 11:41:01 2020
# by: aek156
# via: ./topogtools/editTopo.py --ref /g/data/ik11/inputs/access-om2/input_20200530/mom_025deg/topog.nc topog_new_deseas_partialcell_mindepth_masked_fixnonadvective.nc
#
# These edits fill in the enclosed Sulu Sea basin up to the sill depth of 503m, by copying data from previous topography
# /g/data/ik11/inputs/access-om2/input_20200530/mom_025deg/topog.nc
# see https://github.com/COSIMA/access-om2/issues/158#issuecomment-698758041
#
# There are additional edits below in the Denmark Strait, Faroe Bank channel, Nares Strait and Caribbean Sea
# - search for "created" to find these.
#
#   i    j  old                 new
  1015   855  505.1555480957031   619.9000244140625
  1015   854  362.0332336425781   619.9000244140625
  1014   855  578.9055786132812   619.9000244140625
  1014   854  464.0958251953125   619.9000244140625
  1014   853  301.5104064941406   619.9000244140625
  1013   854  540.4827880859375   619.9000244140625
  1013   853  374.5094909667969   619.9000244140625
  1013   852  283.7749938964844   619.9000244140625
  1012   855  540.4827880859375   619.9000244140625
  1012   854  540.4827880859375   619.9000244140625
  1012   853  534.3861083984375   619.9000244140625
  1012   852  428.8277893066406   619.9000244140625
  1012   851  397.5320739746094   619.9000244140625
  1011   853  540.4827880859375   619.9000244140625
  1011   852  540.4827880859375   619.9000244140625
  1011   851  479.37322998046875  619.9000244140625
  1010   853  540.4827880859375   619.9000244140625
  1013   855  600.4583129882812   619.9000244140625
  1013   856  563.6989135742188   619.9000244140625
  1010   850  578.5703125         619.9000244140625
  1010   851  596.6343383789062   619.9000244140625
  1010   852  627.6714477539062   619.9000244140625
  1014   856  621.8642578125      619.9000244140625
  1014   857  610.3110961914062   619.9000244140625
  1015   857  627.6714477539062   619.9000244140625
  1009   852  610.9972534179688   619.9000244140625
  1014   859  583.7708740234375   619.9000244140625
  1015   859  647.4429931640625   619.9000244140625
  1014   858  588.575927734375    619.9000244140625
  1015   858  663.4465942382812   619.9000244140625
  1008   852  588.4251098632812   619.9000244140625
  1016   857  616.3563232421875   724.0
  1017   857  557.9205322265625   724.0
  1018   857  332.0662841796875   619.9000244140625
  1018   860  837.724365234375    988.9707641601562
  1018   859  726.529052734375    837.724365234375
  1018   858  563.890380859375    724.0
  1019   861  902.2647094726562   988.9707641601562
  1019   860  768.8563232421875   988.9707641601562
  1019   859  597.0194091796875   837.724365234375
  1019   858  359.3498840332031   619.9000244140625
  1020   862  898.7154541015625   988.9707641601562
  1020   861  717.547607421875    988.9707641601562
  1020   860  573.05615234375     837.724365234375
  1020   859  396.775634765625    619.9000244140625
  1021   863  911.5310668945312   988.9707641601562
  1021   862  680.3895263671875   988.9707641601562
  1021   861  357.9694519042969   837.724365234375
  1021   860  217.05877685546875  619.9000244140625
  1022   862  515.5963745117188   619.9000244140625
  1007   851  690.8139038085938   724.9000244140625
  1008   851  711.6786499023438   724.0
  1009   851  692.2886962890625   724.0
  1008   850  771.5888671875      837.724365234375
  1009   850  661.6575927734375   724.0
  1011   850  459.8722229003906   540.0
  1008   849  755.066650390625    837.724365234375
  1009   849  683.6444702148438   724.0
  1010   849  584.9168701171875   619.9000244140625
  1016   858  700.1243286132812   724.0
  1017   858  705.2853393554688   724.0
  1007   852  540.4827880859375   557.9204711914062
  1008   853  487.7433166503906   507.8647155761719
  1009   853  522.013916015625    540.0
  1010   854  513.9141235351562   540.0
  1011   854  540.4827880859375   540.0
  1011   855  503.23333740234375  540.0
  1012   856  513.1680297851562   540.0
  1013   857  519.6889038085938   540.0
  1013   858  519.9252319335938   540.0
  1007   849  863.0639038085938   872.7089233398438
  1008   848  811.2471923828125   837.724365234375
  1010   848  557.9205322265625   619.9000244140625
  1009   848  717.800537109375    724.0
#
# created: Mon Nov  2 14:11:53 2020
# by: aek156
# via: /g/data/ik11/inputs/access-om2/bin/editTopo.py --ref /g/data/ik11/inputs/access-om2/input_20200530/mom_025deg/topog.nc edit_topog.nc
#
# These edits deepen the Faroe Bank channel, by copying data from previous topography
# /g/data/ik11/inputs/access-om2/input_20200530/mom_025deg/topog.nc
# see https://github.com/COSIMA/access-om2/issues/158#issuecomment-719225807
#
#    i    j  old                 new
  1082   813  883.392822265625    837.724365234375
  1083   813  726.529052734375    837.724365234375
  1084   813  726.529052734375    837.724365234375
  1085   813  726.529052734375    837.724365234375
  1086   813  497.57379150390625  837.724365234375
  1082   812  862.50732421875     837.724365234375
  1083   812  722.5466918945312   837.724365234375
  1084   812  679.7578125         837.724365234375
  1085   812  726.529052734375    837.724365234375
  1086   812  540.4827880859375   837.724365234375
  1087   812  289.8253173828125   837.724365234375
  1085   811  484.9166259765625   837.724365234375
  1086   811  540.4827880859375   837.724365234375
  1087   811  540.4827880859375   837.724365234375
  1088   811  479.37322998046875  837.724365234375
  1089   811  286.34521484375     837.724365234375
  1086   810  385.1999816894531   837.724365234375
  1087   810  540.4827880859375   837.724365234375
  1088   810  726.529052734375    837.724365234375
  1089   810  692.5642700195312   837.724365234375
  1088   809  726.529052734375    837.724365234375
  1089   809  726.529052734375    837.724365234375
  1090   809  627.6714477539062   837.724365234375
  1088   808  537.5714111328125   837.724365234375
  1089   808  837.724365234375    837.724365234375
  1090   808  789.9332885742188   837.724365234375
  1088   807  557.9205322265625   837.724365234375
  1089   807  837.724365234375    837.724365234375
  1090   807  831.935546875       837.724365234375
  1088   806  913.5380249023438   837.724365234375
  1089   806  939.7142333984375   862.50732421875
  1090   806  870.8642578125      862.50732421875
  1084   814  670.9166259765625   750.0
  1083   814  703.45947265625     776.17333984375
  1082   814  782.5833129882812   776.17333984375
  1081   814  868.1880493164062   869.6791381835938
  1081   813  988.970703125       961.63916015625
  1081   812  1002.4000244140625  1009.656494140625
  1081   811  988.970703125       1009.656494140625
  1088   805  961.63916015625     955.5926513671875
  1089   805  961.63916015625     955.5926513671875
  1090   805  943.3067016601562   955.5926513671875
  1088   804  961.63916015625     955.5926513671875
  1089   804  1048.1444091796875  988.9707641601562
  1090   804  1033.12451171875    988.9707641601562
  1088   803  942.86669921875     914.1500244140625
  1089   803  1034.5067138671875  988.9707641601562
  1090   803  1081.6356201171875  988.9707641601562
  1091   803  1021.408935546875   955.5926513671875
